@RELATION dn2a_lag

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE c-3 REAL
@ATTRIBUTE c-2 REAL
@ATTRIBUTE c-1 REAL
@ATTRIBUTE c REAL

@DATA
-0.894937535,5.220262416,-33.80301908,-33.34666813,-32.86812621,-32.36835326
-0.881371454,5.145327062,-33.34666813,-32.86812621,-32.36835326,-31.84831254
-0.867526123,5.070077326,-32.86812621,-32.36835326,-31.84831254,-31.30897017
-0.853416012,4.994534042,-32.36835326,-31.84831254,-31.30897017,-30.75129465
-0.839055623,4.918718082,-31.84831254,-31.30897017,-30.75129465,-30.17625639
-0.824459476,4.842650345,-31.30897017,-30.75129465,-30.17625639,-29.58482724
-0.809642108,4.766351753,-30.75129465,-30.17625639,-29.58482724,-28.97798002
-0.794618061,4.689843243,-30.17625639,-29.58482724,-28.97798002,-28.35668802
-0.779401881,4.613145757,-29.58482724,-28.97798002,-28.35668802,-27.72192455
-0.764008105,4.536280238,-28.97798002,-28.35668802,-27.72192455,-27.07466246
-0.74845126,4.459267619,-28.35668802,-27.72192455,-27.07466246,-26.41587365
-0.732745849,4.382128818,-27.72192455,-27.07466246,-26.41587365,-25.74652864
-0.716906353,4.304884731,-27.07466246,-26.41587365,-25.74652864,-25.06759604
-0.700947216,4.227556221,-26.41587365,-25.74652864,-25.06759604,-24.3800421
-0.684882845,4.150164116,-25.74652864,-25.06759604,-24.3800421,-23.68483027
-0.668727598,4.072729194,-25.06759604,-24.3800421,-23.68483027,-22.98292069
-0.65249578,3.995272185,-24.3800421,-23.68483027,-22.98292069,-22.27526973
-0.636201634,3.917813756,-23.68483027,-22.98292069,-22.27526973,-21.56282954
-0.619859339,3.840374506,-22.98292069,-22.27526973,-21.56282954,-20.84654757
-0.603482998,3.76297496,-22.27526973,-21.56282954,-20.84654757,-20.12736612
-0.587086634,3.685635562,-21.56282954,-20.84654757,-20.12736612,-19.40622188
-0.570684183,3.608376664,-20.84654757,-20.12736612,-19.40622188,-18.68404545
-0.554289488,3.531218523,-20.12736612,-19.40622188,-18.68404545,-17.96176092
-0.537916291,3.454181292,-19.40622188,-18.68404545,-17.96176092,-17.2402854
-0.521578229,3.377285012,-18.68404545,-17.96176092,-17.2402854,-16.52052856
-0.505288824,3.300549606,-17.96176092,-17.2402854,-16.52052856,-15.80339222
-0.48906148,3.223994873,-17.2402854,-16.52052856,-15.80339222,-15.08976988
-0.472909476,3.147640481,-16.52052856,-15.80339222,-15.08976988,-14.38054628
-0.456845957,3.071505955,-15.80339222,-15.08976988,-14.38054628,-13.67659699
-0.440883931,2.995610678,-15.08976988,-14.38054628,-13.67659699,-12.97878795
-0.425036263,2.919973879,-14.38054628,-13.67659699,-12.97878795,-12.28797509
-0.409315666,2.844614628,-13.67659699,-12.97878795,-12.28797509,-11.60500386
-0.393734696,2.769551828,-12.97878795,-12.28797509,-11.60500386,-10.93070883
-0.37830575,2.69480421,-12.28797509,-11.60500386,-10.93070883,-10.26591329
